"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Для проверки незалогиенным пользователем кликаем  на Ленту заказов, ингредиент с деталями, закрываем окно с деталями, добавляем ингредиент в заказ и  увеличиваем его каунтер","18554","Проверка основного функционала незалогиненным пользователем","tests","Wed Feb 12 18:12:47 MSK 2025","passed","Wed Feb 12 18:13:06 MSK 2025","TestMainFunctionality","test_main_functionality","",""
" Для проверки  переходим на страницу восстановления пароля , кликаем  «Восстановить пароль», вводим email , кликаем  «Восстановить»,кликаем показать/скрыть пароль, смотрим , что поле активно","7099","Проверка Восстановления пароля","tests","Wed Feb 12 18:15:09 MSK 2025","passed","Wed Feb 12 18:15:16 MSK 2025","TestRestorePassword","test_restore_password","",""
"Для проверки залогиненным пользователем кликаем  на Ленту заказов, ингредиент с деталями, закрываем окно с деталями, добавляем ингредиент в заказ и  увеличиваем его каунтер","28123","Проверка основного функционала залогиненным пользователем","tests","Wed Feb 12 18:13:16 MSK 2025","passed","Wed Feb 12 18:13:44 MSK 2025","TestMainFunctionality","test_main_functionality","",""
" Для проверки кликаем  на заказ, открываем окно с деталями, смотрим Историю заказов  на странице Ленты заказов, создаем новый заказ, следим за увеличением счётчиков Выполнено за все время и за сегодня , за появлением номера заказа в разделе В работе","39460","Проверка раздела Лента заказов","tests","Wed Feb 12 18:14:04 MSK 2025","passed","Wed Feb 12 18:14:44 MSK 2025","TestOrderFeed","test_order_feed","",""
" Для проверки кликаем  «Личный кабинет», переходим в Историю заказов и выход","13132","Проверка Личного кабинета","tests","Wed Feb 12 18:14:50 MSK 2025","passed","Wed Feb 12 18:15:03 MSK 2025","TestPersonalAccount","test_personal_account","",""
